"uniqueID","division","mpFrom","mpTo","phid","deathDate"
"Pearce1967","Braddon",2019-05-18,NA,"282306",NA
"Perrett1966","Moreton",2007-11-24,NA,"HVP",NA
"Phelps1957","Wentworth",2018-10-20,2019-05-18,"008Z0",NA
"Phillips1970","Gilmore",2019-05-18,NA,"147140",NA
"Pitt1969","Hinkler",2013-09-07,NA,"148150",NA
"Plibersek1969","Sydney",1998-10-03,NA,"83M",NA
"Porter1970","Pearce",2013-09-07,NA,"208884",NA
"Prentice1953","Ryan",2010-08-21,2019-04-11,"217266",NA
"Price1945","Chifley",1984-12-01,2010-07-19,"QI4",NA
"Price1963","Durack",2013-09-07,NA,"249308",NA
"Prosser1948","Forrest",1987-07-11,2007-10-17,"RI4",NA
"Pyne1967","Sturt",1993-03-13,2019-04-11,"9V5",NA
"Quick1941","Franklin",1993-03-13,2007-10-17,"AV5",NA
"Raguse1960","Forde",2007-11-24,2010-08-21,"HVQ",NA
"Ramsey1956","Grey",2007-11-24,NA,"HWS",NA
"Randall1953","Canning",2001-11-10,2015-07-21,"PK6",2015-07-21
"Randall1953","Swan",1996-03-02,1998-10-03,"PK6",2015-07-21
"Rea1963","Bonner",2007-11-24,2010-08-21,"HVR",NA
"ReidNicholas1935","Bendigo",1990-03-24,1998-08-31,"VT4",NA
"Reith1950","Flinders",1984-12-01,2001-10-08,"WI4",NA
"Richardson1958","Kingston",2004-10-09,2007-11-24,"E0B",NA
"Ripoll1966","Oxley",1998-10-03,2016-05-09,"83E",NA
"Rishworth1978","Kingston",2007-11-24,NA,"HWA",NA
"Robb1951","Goldstein",2004-10-09,2016-05-09,"FU4",NA
"Robert1970","Fadden",2007-11-24,NA,"HWT",NA
"Rocher1936","Curtin",1981-02-21,1998-10-03,"ZI4",2016-03-18
"Ronaldson1954","Ballarat",1990-03-24,2001-10-08,"XT4",NA
"Rowland1971","Greenway",2010-08-21,NA,"159771",NA
"Roxon1967","Gellibrand",1998-10-03,2013-08-05,"83K",NA
"Roy1990","Longman",2010-08-21,2016-07-02,"M2X",NA
"Rudd1957","Griffith",1998-10-03,2013-11-22,"83T",NA
"Ruddock1943","Berowra",1993-03-13,2016-05-09,"0J4",NA
"Ryan1961","Lalor",2013-09-07,NA,"249224",NA
"Saffin1954","Page",2007-11-24,2013-09-07,"HVY",NA
"Sawford1944","Port Adelaide",1988-03-26,2007-10-17,"3J4",NA
"Schultz1939","Hume",1998-10-03,2013-08-05,"83Q",2015-07-14
"Sciacca1947","Bowman",1998-10-03,2004-10-09,"6J4",2017-06-21
"Scott1943","Maranoa",1990-03-24,2016-05-09,"YT4",NA
"Scott1977","Lindsay",2013-09-07,2016-07-02,"165476",NA
"Secker1956","Barker",1998-10-03,2013-08-05,"848",NA
"Sercombe1949","Maribyrnong",1996-03-02,2007-10-17,"QK6",NA
"Sharkie1972","Mayo",2016-07-02,2018-05-11,"265980",NA
"Sharkie1972","Mayo",2018-07-28,NA,"265980",NA
"Sharma1975","Wentworth",2019-05-18,NA,"274506",NA
"Sharp1954","Hume",1993-03-13,1998-08-31,"AJ4",NA
"Short1956","Ryan",2001-03-17,2001-11-10,"9V8",NA
"Shorten1967","Maribyrnong",2007-11-24,NA,"00ATG",NA
"Sidebottom1951","Braddon",1998-10-03,2004-10-09,"849",NA
"Sidebottom1951","Braddon",2007-11-24,2013-09-07,"849",NA
"Simmonds1985","Ryan",2019-05-18,NA,"282983",NA
"Simpkins1964","Cowan",2007-11-24,2016-07-02,"HWE",NA
"Sinclair1929","New England",1963-11-30,1998-08-31,"5E4",NA
"Slipper1950","Fisher",1993-03-13,2013-09-07,"0V5",NA
"Smith1950","Dickson",1996-03-02,1998-10-03,"SK6",NA
"Smith1954","Bass",1996-03-02,1998-10-03,"GJ4",NA
"Smith1955","Perth",1993-03-13,2013-08-05,"5V5",NA
"Smith1967","Casey",2001-11-10,NA,"00APG",NA
"Smith1970","Bean",2019-05-18,NA,"276714",NA
"Smyth1976","La Trobe",2010-08-21,2013-09-07,"172770",NA
"Snowdon1950","Lingiari",2001-11-10,NA,"IJ4",NA
"Snowdon1950","Northern Territory",1998-10-03,2001-11-10,"IJ4",NA
"Somlyay1946","Fairfax",1990-03-24,2013-08-05,"ZT4",NA
"Southcott1967","Boothby",1996-03-02,2016-05-09,"TK6",NA
"Stanley1961","Werriwa",2016-07-02,NA,"265990",NA
"StClair1949","New England",1998-10-03,2001-11-10,"84B",NA
"Steggall1974","Warringah",2019-05-18,NA,"175696",NA
"Stevens1983","Sturt",2019-05-18,NA,"176304",NA
"Stone1951","Murray",1996-03-02,2016-05-09,"EM6",NA
"Sudmalis1955","Gilmore",2013-09-07,2019-04-11,"241586",NA
"Sukkar1981","Deakin",2013-09-07,NA,"242515",NA
"Sullivan1942","Moncrieff",1984-12-01,2001-10-08,"3E4",NA
