"uniqueID","phid","surname","firstName","displayName","gender","title","prefix","suffix","electorate","party","deathDate","form1","form2","form3","form4","form5"
"Brown1894","JSI","Brown","Geoffrey","Brown, Geoffrey","male","Mr",NA,"MBE","McMillan","Liberal Party of Australia",1955-10-14,"Mr Geoffrey Brown","Mr Brown","Mr GEOFFREY BROWN","Mr BROWN","Mr Geoffrey BROWN"
"Brown1931","OD4","Brown","John","Brown, John","male","Mr","the Hon.","AO","Parramatta","Australian Labor Party",NA,"Mr John Brown","Mr Brown","Mr JOHN BROWN","Mr BROWN","Mr John BROWN"
"Brown1933","5A5","Brown","Robert","Brown, Bob, MP","male","Mr","the Hon.","AM","Charlton","Australian Labor Party",NA,"Mr Robert Brown","Mr Brown","Mr ROBERT BROWN","Mr BROWN","Mr Robert BROWN"
"Brown1940","PD4","Brown","Neil","Brown, Neil","male","Mr","the Hon.","KC","Menzies","Liberal Party of Australia",NA,"Mr Neil Brown","Mr Brown","Mr NEIL BROWN","Mr BROWN","Mr Neil BROWN"
"Brownbill1914","JSO","Brownbill","Kay","Brownbill, Kay","female","Ms|Mrs",NA,"OBE","Kingston","Liberal Party of Australia",2002-02-03,"(Ms|Mrs) Kay Brownbill","(Ms|Mrs) Brownbill","(Ms|Mrs) KAY BROWNBILL","(Ms|Mrs) BROWNBILL","(Ms|Mrs) Kay BROWNBILL"
"Browne1924","JSQ","Browne","Peter","Browne, Peter","male","Mr",NA,NA,"Kalgoorlie","Liberal Party of Australia",2000-09-11,"Mr Peter Browne","Mr Browne","Mr PETER BROWNE","Mr BROWNE","Mr Peter BROWNE"
"Bruce1883","F4B","Bruce","Stanley","Bruce, Stanley","male","Mr","the Rt. Hon.","CH, MC","Flinders","United Australia Party",1967-08-25,"Mr Stanley Bruce","Mr Bruce","Mr STANLEY BRUCE","Mr BRUCE","Mr Stanley BRUCE"
"Bruce1884","JSS","Bruce","Henry","Bruce, Harry","male","Mr",NA,NA,"Leichhardt","Australian Labor Party",1958-10-11,"Mr Henry Bruce","Mr Bruce","Mr HENRY BRUCE","Mr BRUCE","Mr Henry BRUCE"
"Brumby1953","1F4","Brumby","John","Brumby, John","male","Mr",NA,"AO","Bendigo","Australian Labor Party",NA,"Mr John Brumby","Mr Brumby","Mr JOHN BRUMBY","Mr BRUMBY","Mr John BRUMBY"
"Bryant1914","JSU","Bryant","Gordon","Bryant, Gordon","male","Mr","the Hon.",NA,"Wills","Australian Labor Party",1991-01-14,"Mr Gordon Bryant","Mr Bryant","Mr GORDON BRYANT","Mr BRYANT","Mr Gordon BRYANT"
"Bryson1898","JSW","Bryson","William","Bryson, Bill","male","Mr",NA,NA,"Wills","Australian Labor Party (Anti-Communist)",1973-03-02,"Mr William Bryson","Mr Bryson","Mr WILLIAM BRYSON","Mr BRYSON","Mr William BRYSON"
"Buchanan1905","JSY","Buchanan","Alexander","Buchanan, Alex","male","Mr",NA,NA,"McMillan","Independent",1985-09-10,"Mr Alexander Buchanan","Mr Buchanan","Mr ALEXANDER BUCHANAN","Mr BUCHANAN","Mr Alexander BUCHANAN"
"Buchholz1968","230531","Buchholz","Scott","Buchholz, Scott","male","Mr","the Hon.",NA,"Wright","Liberal Party of Australia",NA,"Mr Scott Buchholz","Mr Buchholz","Mr SCOTT BUCHHOLZ","Mr BUCHHOLZ","Mr Scott BUCHHOLZ"
"Bungey1934","JT9","Bungey","Melville","Bungey, Mel","male","Mr",NA,NA,"Canning","Liberal Party of Australia",NA,"Mr Melville Bungey","Mr Bungey","Mr MELVILLE BUNGEY","Mr BUNGEY","Mr Melville BUNGEY"
"Burchell1883","JTC","Burchell","Reginald","Burchell, Reginald","male","Mr",NA,"MC","Fremantle","Nationalist Party",1955-06-20,"Mr Reginald Burchell","Mr Burchell","Mr REGINALD BURCHELL","Mr BURCHELL","Mr Reginald BURCHELL"
"Burke1910","JTF","Burke","Thomas","Burke, Tom","male","Mr",NA,NA,"Perth","Australian Labor Party",1973-01-17,"Mr Thomas Burke","Mr Burke","Mr THOMAS BURKE","Mr BURKE","Mr Thomas BURKE"
"Burke1966","83S","Burke","Anna","Burke, Anna","female","Ms|Mrs",NA,"AO","Chisholm","Australian Labor Party",NA,"(Ms|Mrs) Anna Burke","(Ms|Mrs) Burke","(Ms|Mrs) ANNA BURKE","(Ms|Mrs) BURKE","(Ms|Mrs) Anna BURKE"
"Burke1969","DYW","Burke","Anthony","Burke, Tony","male","Mr","the Hon.",NA,"Watson","Australian Labor Party",NA,"Mr Anthony Burke","Mr Burke","Mr ANTHONY BURKE","Mr BURKE","Mr Anthony BURKE"
"Burney1957","8GH","Burney","Linda","Burney, Linda","female","Ms|Mrs","the Hon.",NA,"Barton","Australian Labor Party",NA,"(Ms|Mrs) Linda Burney","(Ms|Mrs) Burney","(Ms|Mrs) LINDA BURNEY","(Ms|Mrs) BURNEY","(Ms|Mrs) Linda BURNEY"
"Burns1869","JTI","Burns","George","Burns, George","male","Mr",NA,NA,"Illawarra","Australian Labor Party",1932-08-15,"Mr George Burns","Mr Burns","Mr GEORGE BURNS","Mr BURNS","Mr George BURNS"
"Burns1933","JTM","Burns","William","Burns, William","male","Mr",NA,NA,"Isaacs","Liberal Party of Australia",2009-03-16,"Mr William Burns","Mr Burns","Mr WILLIAM BURNS","Mr BURNS","Mr William BURNS"
"Burns1987","278522","Burns","Joshua","Burns, Josh","male","Mr",NA,NA,"Macnamara","Australian Labor Party",NA,"Mr Joshua Burns","Mr Burns","Mr JOSHUA BURNS","Mr BURNS","Mr Joshua BURNS"
"Burr1939","3F4","Burr","Maxwell","Burr, Max","male","Mr",NA,"OAM","Lyons","Liberal Party of Australia",NA,"Mr Maxwell Burr","Mr Burr","Mr MAXWELL BURR","Mr BURR","Mr Maxwell BURR"
"Bury1913","JTP","Bury","Leslie","Bury, Les","male","Mr","the Hon.","CMG","Wentworth","Liberal Party of Australia",1986-09-07,"Mr Leslie Bury","Mr Bury","Mr LESLIE BURY","Mr BURY","Mr Leslie BURY"
"Butler1970","HWK","Butler","Mark","Butler, Mark","male","Mr","the Hon.",NA,"Hindmarsh","Australian Labor Party",NA,"Mr Mark Butler","Mr Butler","Mr MARK BUTLER","Mr BUTLER","Mr Mark BUTLER"
"Butler1977","248006","Butler","Terri","Butler, Terri","female","Ms|Mrs",NA,NA,"Griffith","Australian Labor Party",NA,"(Ms|Mrs) Terri Butler","(Ms|Mrs) Butler","(Ms|Mrs) TERRI BUTLER","(Ms|Mrs) BUTLER","(Ms|Mrs) Terri BUTLER"
"Byrne1962","008K0","Byrne","Anthony","Byrne, Anthony","male","Mr","the Hon.",NA,"Holt","Australian Labor Party",NA,"Mr Anthony Byrne","Mr Byrne","Mr ANTHONY BYRNE","Mr BYRNE","Mr Anthony BYRNE"
"Cadman1937","SD4","Cadman","Alan","Cadman, Alan","male","Mr","the Hon.","OAM","Mitchell","Liberal Party of Australia",NA,"Mr Alan Cadman","Mr Cadman","Mr ALAN CADMAN","Mr CADMAN","Mr Alan CADMAN"
"Cairns1914","1V4","Cairns","James","Cairns, Jim","male","Dr|Mr","the Hon. Dr",NA,"Lalor","Australian Labor Party",2003-10-12,"(Dr|Mr) James Cairns","(Dr|Mr) Cairns","(Dr|Mr) JAMES CAIRNS","(Dr|Mr) CAIRNS","(Dr|Mr) James CAIRNS"
"Cairns1929","JTS","Cairns","Kevin","Cairns, Kevin","male","Mr","the Hon.",NA,"Lilley","Liberal Party of Australia",1984-07-06,"Mr Kevin Cairns","Mr Cairns","Mr KEVIN CAIRNS","Mr CAIRNS","Mr Kevin CAIRNS"
