"fedchamb_flag","n_name.id","n_electorate","n_party","n_names","date"
1,58,58,6,59,2017-09-11
0,77,78,6,81,2017-09-12
1,29,29,3,29,2017-09-12
0,77,78,6,83,2017-09-13
1,38,39,4,40,2017-09-13
0,70,71,4,78,2017-09-14
1,31,32,5,32,2017-09-14
0,90,90,6,92,2017-10-16
1,61,62,4,62,2017-10-16
0,70,72,5,78,2017-10-17
1,28,29,4,29,2017-10-17
0,81,83,6,85,2017-10-18
1,37,38,6,39,2017-10-18
0,72,73,5,75,2017-10-19
1,25,26,3,27,2017-10-19
0,80,80,6,81,2017-10-23
1,68,70,5,70,2017-10-23
0,74,75,5,80,2017-10-24
1,28,28,4,28,2017-10-24
0,74,77,6,84,2017-10-25
1,29,31,5,31,2017-10-25
0,67,68,7,72,2017-10-26
1,23,24,3,24,2017-10-26
0,73,75,7,77,2017-12-04
1,36,37,3,37,2017-12-04
0,90,90,5,95,2017-12-05
1,37,37,3,37,2017-12-05
0,86,88,7,88,2017-12-06
1,28,28,4,28,2017-12-06
0,73,76,7,78,2017-12-07
1,31,32,4,32,2017-12-07
0,89,88,8,92,2018-02-05
1,67,67,6,68,2018-02-05
0,78,80,7,86,2018-02-06
1,30,30,3,30,2018-02-06
0,85,87,5,91,2018-02-07
1,29,29,4,30,2018-02-07
0,77,77,6,83,2018-02-08
1,22,22,4,23,2018-02-08
0,88,90,7,92,2018-02-12
1,65,67,6,67,2018-02-12
0,76,76,6,81,2018-02-13
1,27,27,5,27,2018-02-13
0,87,88,5,92,2018-02-14
1,41,41,6,43,2018-02-14
0,80,80,5,85,2018-02-15
1,26,26,4,26,2018-02-15
0,78,80,6,80,2018-02-26
1,64,65,6,65,2018-02-26
0,80,80,7,80,2018-02-27
1,23,23,2,25,2018-02-27
0,83,84,4,85,2018-02-28
1,33,33,6,33,2018-02-28
0,81,80,6,81,2018-03-01
1,28,29,3,29,2018-03-01
0,85,85,6,88,2018-03-26
1,58,59,5,59,2018-03-26
0,77,78,5,79,2018-03-27
1,25,24,4,24,2018-03-27
0,77,77,5,80,2018-03-28
1,39,39,5,39,2018-03-28
0,77,77,6,79,2018-05-08
0,85,86,5,89,2018-05-09
1,34,34,4,34,2018-05-09
0,77,78,6,81,2018-05-10
1,38,39,4,40,2018-05-10
0,90,90,5,91,2018-05-21
